file	loc	warm_seconds	rc	checking_lines	warn_hits
src/CategoricalCrypto.agda	39	8	0	1	0
src/CategoricalCrypto/Examples/ChimericLedger/Birthday.agda	481	8	0	1	0
src/CategoricalCrypto/Examples/ChimericLedger/Carry.agda	46	10	0	1	0
src/CategoricalCrypto/Examples/ChimericLedger/Trajectory.agda	126	8	0	1	0
src/CategoricalCrypto/Examples/ChimericLedger/Value.agda	485	6	0	1	0
src/CategoricalCrypto/Examples/MerkleDamgard.agda	263	38	0	2	0
src/CategoricalCrypto/Examples/MerkleDamgard/Core.agda	1826	36	0	1	0
src/CategoricalCrypto/Examples/MerkleDamgard/Pin.agda	123	38	0	3	0
src/CategoricalCrypto/Examples/MerkleDamgard/QueryBound.agda	220	11	0	1	0
src/CategoricalCrypto/GamePlaying.agda	204	49	0	1	0
src/CategoricalCrypto/Interaction.agda	128	6	0	1	0
src/CategoricalCrypto/Machine/Probabilistic/Model.agda	233	7	0	2	0
src/CategoricalCrypto/Machines/Base.agda	290	10	0	1	0
src/CategoricalCrypto/Machines/Category.agda	93	8	0	1	0
src/CategoricalCrypto/Machines/Collapse.agda	363	18	0	3	0
src/CategoricalCrypto/Machines/Collapse/Congruence.agda	40	19	0	2	0
src/CategoricalCrypto/Machines/Core.agda	103	2	0	1	0
src/CategoricalCrypto/Machines/Frame.agda	398	5	0	2	0
src/CategoricalCrypto/Machines/G.agda	67	16	0	2	0
src/CategoricalCrypto/Machines/G/Lax.agda	71	15	0	2	0
src/CategoricalCrypto/Machines/Sim/Lax.agda	190	7	0	1	0
src/CategoricalCrypto/Machines/Tensor.agda	174	4	0	1	0
src/CategoricalCrypto/Machines/Tensor/Assoc.agda	223	10	0	2	0
src/CategoricalCrypto/Machines/Trace/Naturality.agda	114	4	0	1	0
src/CategoricalCrypto/OutputOnly.agda	232	18	0	2	0
src/CategoricalCrypto/Protocol.agda	101	8	0	9	0
src/CategoricalCrypto/Protocol/Machine.agda	137	15	0	15	0
src/CategoricalCrypto/Protocol/Machine/Agree.agda	73	10	0	3	0
src/CategoricalCrypto/Protocol/Machine/Compose.agda	312	18	0	3	0
src/CategoricalCrypto/Protocol/Machine/Pin.agda	114	10	0	1	0
src/CategoricalCrypto/Protocol/Machine/Total.agda	106	11	0	6	0
src/CategoricalCrypto/Protocol/Observe.agda	231	6	0	1	0
src/CategoricalCrypto/Protocol/Safety.agda	112	7	0	2	0
src/CategoricalCrypto/Strategy.agda	36	6	0	1	0
src/CategoricalCrypto/UC.agda	98	41	0	13	0
src/CategoricalCrypto/UC/Approximate.agda	212	5	0	1	0
src/CategoricalCrypto/UC/Budget.agda	73	2	0	1	0
src/CategoricalCrypto/UC/Core.agda	112	2	0	1	0
src/CategoricalCrypto/UC/Core/Standard.agda	54	2	0	2	0
src/CategoricalCrypto/UC/Emulation.agda	91	3	0	1	0
src/CategoricalCrypto/UC/Environment.agda	204	2	0	1	0
src/CategoricalCrypto/UC/Family.agda	263	5	0	5	0
src/CategoricalCrypto/UC/Family/Monoidal.agda	125	7	0	3	0
src/CategoricalCrypto/UC/Machine.agda	239	9	0	1	0
src/CategoricalCrypto/UC/Machine/Bridge.agda	95	10	0	2	0
